Name,Название конечного раздела,DescriptionRu,DescriptionEn,Url,Derection,Category,Product type,Vendor
EMSS-32R1-C1 123456789123456789123456789,SATA Port Modules,"Конвертер интерфейса mSATA в Dual SATA III RAID, 3.3В, 0...+70C","mSATA Full-Size to 2xSATA 3 Connectors with RAID 0/1, Operating Temperature 0...+70C, 3.3V",emss-32r1-c1,IPC,COMPONENTS,CONVERTERS,InnoDisk
DS2M-08GI81AW1ST,Industrial SD Memory Cards,"8GB Industrial Micro SD Card, Innodisk, SLC, Single Channel, R/W 20 / 16 MB/s, Wide Temperature -40..+85 C","8GB Industrial Micro SD Card, Innodisk, SLC, Single Channel, R/W 20 / 16 MB/s, Wide Temperature -40..+85 C",ds2m-08gi81aw1st,IPC,COMPONENTS,FLASHDISK,InnoDisk
M2SK-2GPF2I06-B,Industrial Memory Modules,"Memory Module Innodisk 2GB DDR2 SODIMM 800MHz Non-ECC 128Mx8, IC Promos, -40шC~80шC","Memory Module Innodisk 2GB DDR2 SODIMM 800MHz Non-ECC 128Mx8, IC Promos, -40шC~80шC",m2sk-2gpf2i06-b,IPC,COMPONENTS,MEMORY,InnoDisk
M2SK-1GPF5I06-B,Industrial Memory Modules,"Memory Module Innodisk 1GB DDR2 SODIMM 800MHz Non-ECC 128Mx8, IC Promos, -40..+80C","Memory Module Innodisk 1GB DDR2 SODIMM 800MHz Non-ECC 128Mx8, IC Promos, -40..+80C",m2sk-1gpf5i06-b,IPC,COMPONENTS,MEMORY,InnoDisk
DC1M-512D31C1SB,Industrial CompactFlash,"Накопитель 512 Мб CompactFlash, серия iCF 4000, SLC, чтение/запись 20/10 (Макс), температурный диапазон 0..+70 C","512MB Industrial CompactFlash Card, Innodisk iCF 4000, Single Channel, Standard Temperature 0..+70 C",dc1m-512d31c1sb,IPC,COMPONENTS,FLASHDISK,InnoDisk
DC1M-04GD31C1DB,Industrial CompactFlash,"Карта флеш-памяти 4Гб CompactFlash, серия iCF 4000, SLC, чтение/запись 40/20 (Макс), температрный диапазон 0..+70 C","4GB Industrial CompactFlash Card, Innodisk iCF 4000, SLC, Dual Channel, Standard Temperature 0..+70 C",dc1m-04gd31c1db,IPC,COMPONENTS,FLASHDISK,InnoDisk
DC1M-08GD31W1DB,Industrial CompactFlash,"Карта флеш-памяти 8Гб CompactFlash, серия iCF 4000, SLC, чтение/запись 40/20 (Макс), температуный диапазон -40..+85 C","8GB Industrial CompactFlash Card, Innodisk iCF 4000, Dual Channel, Wide Temperature -40..+85 C",dc1m-08gd31w1db,IPC,COMPONENTS,FLASHDISK,InnoDisk
DC1M-02GD31W1DB,Industrial CompactFlash,"Карта флеш-памяти 2Гб CompactFlash, серия iCF 4000, SLC, чтение/запись 40/20 Мб (Макс), темперартурный диапазон -40..+85 C","2GB Industrial CompactFlash Card, Innodisk iCF 4000, Dual Channel, Wide Temperature -40..+85 C",dc1m-02gd31w1db,IPC,COMPONENTS,FLASHDISK,InnoDisk
DC1M-128D31C1SB,Industrial CompactFlash,"Карта флеш-памяти 128Мб CompactFlash, серия iCF 4000, SLC, чтение/запись 20/10 (Макс), темперартурный диапазон 0..+70 C","128MB Industrial CompactFlash Card, Innodisk iCF 4000, Single Channel, Standard Temperature 0..+70 C",dc1m-128d31c1sb,IPC,COMPONENTS,FLASHDISK,InnoDisk
DC1M-02GD31C1DB,Industrial CompactFlash,"Карта флеш-памяти 2Гб CompactFlash, серия iCF 4000, SLC, чтение/запись 40/20 Мб (Макс), температрный диапазон 0..+70 C","2GB Industrial CompactFlash Card, Innodisk iCF 4000, Dual Channel, Standard Temperature 0..+70 C",dc1m-02gd31c1db,IPC,COMPONENTS,FLASHDISK,InnoDisk
D2ST2-64GJ20AWAES,Industrial 2.5 SATA SSD,"2.5"" Flash in Disk, 64Гб, интерфейс SATAII, InnoDisk SATA SSD 10000 Plus, -40...+85","64GB 2.5"" InnoDisk SLC SSD 10000 Plus, SATA2, Wide Temperature -40..85 C",d2st2-64gj20awaes,IPC,COMPONENTS,FLASHDISK,InnoDisk
